年份,姓名,性别,年龄,公司总部地,所在行业,排名,财富值_人民币/亿元
2013,王健林,先生,59,中国-北京,房地产、文化,1,1350.0
2013,宗庆后,先生,68,中国-浙江-杭州,饮料,2,1150.0
2013,马化腾,先生,42,中国-广东-深圳,IT、娱乐,3,620.0
2013,魏建军,先生,49,中国-河北-保定,汽车,4,515.0
2013,杨惠妍,女士,32,中国-广东-佛山,房地产,5,510.0
2013,李彦宏,先生,45,中国-北京,搜索引擎,6,500.0
2013,严彬,先生,59,中国-北京,饮料、房地产,6,500.0
2013,许荣茂,先生,63,中国-上海,房地产、投资,8,430.0
2013,张近东,先生,50,中国-江苏-南京,家电零售、房地产,9,395.0
2013,姜滨,先生,47,中国-山东-潍坊,声学及多媒体产品,10,375.0
2013,许家印,先生,55,中国-广东-广州,房地产、投资,10,375.0
2013,陈丽华,女士,72,中国-北京,房地产,12,370.0
2013,刘永行,先生,65,中国-上海,氧化铝、重化工、饲料,12,370.0
2013,卢志强,先生,61,中国-北京,房地产、金融、投资,12,370.0
2013,梁稳根,先生,57,中国-北京,重型机械,15,365.0
2013,何享健,先生,71,中国-广东-佛山,家电,16,350.0
2013,刘永好,先生,62,中国-四川-成都,农业、金融,17,340.0
2013,鲁冠球,先生,68,中国-浙江-杭州,汽车制造业、房地产、农业,18,310.0
2013,孙广信,先生,51,中国-新疆-乌鲁木齐,房地产、汽车销售、能源,19,300.0
2013,王文银,先生,45,中国-广东-深圳,有色金属、半导体,19,300.0
2013,李金元,先生,55,中国-天津,保健品,21,290.0
2013,吴亚军,女士,49,中国-北京,房地产,22,280.0
2013,张士平,先生,未知,中国-山东-滨州,纺织、铝业,22,280.0
2013,张茵,女士,56,中国-广东-东莞,造纸,24,270.0
2013,陈发树,先生,52,中国-福建-福州,投资、房地产,25,260.0
2013,丁磊,先生,42,中国-广东-广州,IT、娱乐,25,260.0
2013,祝义财,先生,49,中国-江苏-南京,食品、房地产,25,260.0
2013,王玉锁,先生,49,中国-河北-廊坊,天然气、能源化工,28,255.0
2013,马云,先生,49,中国-浙江-杭州,IT,29,250.0
2013,朱孟依,先生,54,中国-广东-广州,房地产,29,250.0
2013,龚虹嘉,先生,48,中国-浙江-杭州,视频监控产品,31,235.0
2013,潘石屹,先生,50,中国-北京,房地产,32,230.0
2013,史玉柱,先生,51,中国-上海,金融、在线游戏,32,230.0
2013,陈卓林,先生,51,中国-广东-广州,房地产,34,220.0
2013,傅利泉,先生,46,中国-浙江-杭州,软件,34,220.0
2013,黄如论,先生,62,中国-北京,房地产,34,220.0
2013,王传福,先生,47,中国-广东-深圳,汽车、手机零部件、充电电池,37,210.0
2013,张志东,先生,41,中国-广东-深圳,IT、娱乐,37,210.0
2013,黄光裕,先生,44,中国-北京,家电零售、房地产,39,200.0
2013,吕向阳,先生,50,中国-广东-广州,投资,39,200.0
