姓名,性别,年龄,出生地,学历,公司名称,公司总部地,公司总部地_英文,所在行业,排名,排名变化,财富值_人民币/亿元,财富值变化
马云,先生,56,中国-浙江-杭州,本科,阿里系,中国-浙江-杭州,China-Zhejiang-Hangzhou,电子商务、金融科技,1,0,4000.0,45%
马化腾,先生,49,中国-海南,本科,腾讯,中国-广东-深圳,China-Guangdong-Shenzhen,互联网服务,2,0,3900.0,50%
钟睒睒,先生,66,中国-浙江-绍兴,,养生堂,中国-浙江-杭州,China-Zhejiang-Hangzhou,饮料、医疗保健,3,New,3650.0,New
王卫,先生,50,中国-上海, ,顺丰,中国-香港,China-Hong Kong,快递,4,8,2400.0,118%
许家印,先生,62,中国-河南-周口,硕士,恒大,中国-广东-深圳,China-Guangdong-Shenzhen,房地产、投资,5,-2,2350.0,12%
何享健,先生,78,中国-广东-佛山, ,美的,中国-广东-佛山,China-Guangdong-Foshan,家电制造、房地产,6,-2,2250.0,25%
杨惠妍,女士,39,中国-广东-佛山,本科,碧桂园,中国-广东-佛山,China-Guangdong-Foshan,房地产、教育,6,-1,2250.0,29%
丁磊,先生,49,中国-浙江-宁波,本科,网易,中国-浙江-杭州,China-Zhejiang-Hangzhou,互联网技术,8,0,2200.0,76%
黄峥,先生,40,中国-浙江-杭州,硕士,拼多多,中国-上海-长宁,China-Shanghai-Changning,购物网站,8,-1,2200.0,63%
秦英林,先生,55,中国-河南-南阳,本科,牧原,中国-河南-南阳,China-Henan-Nanyang,畜牧,10,5,2000.0,100%
庞康,先生,64,中国-广东-佛山,本科,海天味业,中国-广东-佛山,China-Guangdong-Foshan,食品,11,12,1950.0,129%
张勇,先生,49,中国-四川-成都, ,海底捞,中国-北京,China-Beijing,餐饮,11,-2,1950.0,63%
雷军,先生,51,中国-湖北-仙桃,本科,小米,中国-北京,China-Beijing,智能硬件与技术、投资,13,16,1700.0,127%
王兴,先生,41,中国-福建-龙岩,本科,美团,中国-北京,China-Beijing,生活服务,13,52,1700.0,325%
张志东,先生,48,中国-广东-东莞,硕士,腾讯,中国-广东-深圳,China-Guangdong-Shenzhen,互联网服务,13,0,1700.0,62%
刘强东,先生,46,中国-江苏-宿迁,本科,京东,中国-北京,China-Beijing,电子商务、金融,16,12,1600.0,111%
刘永好,先生,69,中国-四川-成都, ,新希望,中国-四川-成都,China-Sichuan-Chengdu,农业、化工、金融,16,10,1600.0,100%
严昊,先生,34,中国-江苏-淮安,本科,太平洋建设,中国-新疆-乌鲁木齐,China-Xinjiang-Urumchi,基础建设,18,-9,1450.0,21%
鲁忠芳,女士,78,中国-吉林-通化,本科,中公教育,中国-北京,China-Beijing,教育,19,21,1400.0,133%
陈建华,先生,49,中国-江苏-苏州,硕士,恒力,中国-江苏-苏州,China-Jiangsu-Suzhou,化纤、石化、房地产,20,-7,1350.0,29%
蒋仁生,先生,67,中国-广西-桂林, ,智飞生物,中国-重庆,China-Chongqing,疫苗,20,30,1350.0,160%
钟慧娟,女士,59,, ,翰森,中国-江苏-连云港,China-Jiangsu-Lianyun Port,医药,20,-15,1350.0,61%
许荣茂,先生,70,中国-福建-泉州, ,世茂,中国-上海-黄浦,China-Shanghai-Huangpu,房地产,23,-3,1300.0,37%
曾毓群,先生,52,中国-福建-宁德,博士,宁德时代,中国-福建-宁德,China-Fujian-Ningde,锂电池,24,33,1200.0,167%
李书福,先生,57,中国-浙江-台州,博士,吉利,中国-浙江-杭州,China-Zhejiang-Hangzhou,汽车制造,24,-9,1200.0,20%
徐航,先生,58,中国-广东,本科,迈瑞、鹏瑞,中国-广东-深圳,China-Guangdong-Shenzhen,医疗器械、房地产,24,6,1200.0,71%
李西廷,先生,69,中国-安徽-宿州,本科,迈瑞,中国-广东-深圳,China-Guangdong-Shenzhen,医疗器械,27,13,1150.0,92%
孙飘扬,先生,62,中国-江苏-镇江,硕士,恒瑞,中国-江苏-连云港,China-Jiangsu-Lianyun Port,医药,27,-22,1150.0,26%
周群飞,女士,50,中国-湖南-湘潭, ,蓝思科技,中国-湖南-长沙,China-Hunan-Changsha,电子器件制造,27,58,1150.0,233%
刘永行,先生,72,中国-四川-成都,博士,东方希望,中国-上海-浦东,China-Shanghai-Pudong,氧化铝、重化工、饲料,30,0,1100.0,57%
王健林,先生,66,中国-四川-绵阳,本科,万达,中国-北京,China-Beijing,房地产、文化,30,-21,1100.0,-8%
吴亚军,女士,56,中国-重庆,本科,龙湖,中国-北京,China-Beijing,房地产,30,-7,1100.0,29%
严彬,先生,66,中国-山东-莱州, ,华彬,中国-北京,China-Beijing,饮料、地产,30,-4,1100.0,38%
张一鸣,先生,37,中国-福建-龙岩,本科,字节跳动,中国-北京,China-Beijing,社交媒体,30,-10,1100.0,16%
王文银,先生,52,中国-安徽-安庆,本科,正威,中国-广东-深圳,China-Guangdong-Shenzhen,有色金属,36,-21,1050.0,5%
姚振华,先生,50,中国-广东-汕头,本科,宝能,中国-广东-深圳,China-Guangdong-Shenzhen,投资、房地产,36,-21,1050.0,5%
宗庆后,先生,75,中国-江苏-宿迁, ,娃哈哈,中国-浙江-杭州,China-Zhejiang-Hangzhou,饮料,36,-13,1050.0,24%
左晖,先生,49,,硕士,贝壳,中国-北京,China-Beijing,房地产服务,36,159,1050.0,483%
张近东,先生,57,中国-江苏-南京,本科,苏宁,中国-江苏-南京,China-Jiangsu-Nanjing,零售、房地产,40,-25,1020.0,2%
陈邦,先生,55,中国-湖南-长沙,硕士,爱尔眼科,中国-湖南-长沙,China-Hunan-Changsha,医疗服务,41,6,1000.0,89%
