姓名,性别,年龄,财富值_人民币/亿元,排名变化,企业信息,所在行业
钟睒睒,先生,69,4500,0,养生堂,饮料、医疗保健
马化腾,先生,52,2800,3,腾讯,互联网服务
黄峥,先生,43,2700,7,拼多多,购物网站
曾毓群,先生,55,2500,-1,宁德时代,锂电池
张一鸣,先生,40,2450,-3,字节跳动,社交媒体
丁磊,先生,52,2400,0,网易,互联网技术
李嘉诚、李泽钜父子,先生,59,2100,-3,长江实业,投资
何享健家族,先生,81,2000,-1,美的,家电制造、房地产
李书福家族,先生,60,1750,10,吉利,汽车制造
马云家族,先生,59,1700,-1,阿里系,电子商务、金融科技
李兆基家族,先生,95,1600,3,恒基兆业,房地产
严昊,先生,37,1500,2,太平洋建设,基础建设
秦英林、钱瑛夫妇,先生,58,1450,-5,牧原,畜牧
吕向阳、张长虹夫妇,先生,60,1400,-3,融捷,投资
王传福,先生,57,1350,-2,比亚迪,汽车、充电电池
张刚家族,先生,42,1350,20,信发铝电,电解铝、氧化铝
刘永行、刘相宇父子,先生,75,1300,-7,东方希望,氧化铝、重化工、饲料
郑家纯家族,先生,75,1300,0,周大福,房地产
陈建华、范红卫夫妇,先生,52,1250,-9,恒力,化纤、石化、房地产
吕志和家族,先生,94,1250,12,银河,博彩
王卫,先生,53,1250,-6,顺丰,快递
王兴,先生,44,1250,5,美团,生活服务
魏建军、韩雪娟夫妇,先生,59,1200,-3,长城,汽车制造
黄世霖,先生,56,1150,1,宁德时代,锂电池
张志东,先生,51,1100,10,腾讯,互联网服务
李西廷,先生,72,1000,-1,迈瑞,医疗器械
吴光正家族,先生,77,1000,-3,会德丰,房地产
徐航,先生,61,1000,-1,迈瑞、鹏瑞,医疗器械、房地产
严彬,先生,69,1000,3,华彬,饮料、地产
党彦宝,先生,50,950,21,宝丰,煤化工
刘汉元、管亚梅夫妇,先生,59,950,-8,通威,新能源、农业
宗庆后家族,先生,78,950,1,娃哈哈,饮料
雷军,先生,54,940,13,小米,智能硬件与技术、投资
