排名1,财富值_人民币/亿元,排名变化,个人信息3,性别,年龄,公司名称,所在行业
1,4500,0,钟睒睒,先生,69,养生堂,饮料、医疗保健
2,2800,3,马化腾,先生,52,腾讯,互联网服务
3,2700,7,黄峥,先生,43,拼多多,购物网站
4,2500,-1,曾毓群,先生,55,宁德时代,锂电池
5,2450,-3,张一鸣,先生,40,字节跳动,社交媒体
6,2400,0,丁磊,先生,52,网易,互联网技术
8,2000,-1,何享健家族,先生,81,美的,家电制造、房地产
9,1750,10,李书福家族,先生,60,吉利,汽车制造
10,1700,-1,马云家族,先生,59,阿里系,电子商务、金融科技
11,1600,3,李兆基家族,先生,95,恒基兆业,房地产
12,1500,2,严昊,先生,37,太平洋建设,基础建设
14,1400,5,李蔡美灵家族,先生,未知,李锦记,调味品
16,1350,-2,王传福,先生,57,比亚迪,汽车、充电电池
16,1350,20,张刚家族,先生,42,信发铝电,电解铝、氧化铝
18,1300,0,郑家纯家族,先生,75,周大福,房地产
20,1250,12,吕志和家族,先生,94,银河,博彩
20,1250,-6,王卫,先生,53,顺丰,快递
20,1250,5,王兴,先生,44,美团,生活服务
25,1150,1,黄世霖,先生,56,宁德时代,锂电池
26,1100,10,张志东,先生,51,腾讯,互联网服务
27,1000,-1,李西廷,先生,72,迈瑞,医疗器械
27,1000,-3,吴光正家族,先生,77,会德丰,房地产
27,1000,-1,徐航,先生,61,迈瑞、鹏瑞,医疗器械、房地产
27,1000,3,严彬,先生,69,华彬,饮料、地产
31,950,21,党彦宝,先生,50,宝丰,煤化工
31,950,1,宗庆后家族,先生,78,娃哈哈,饮料
34,940,13,雷军,先生,54,小米,智能硬件与技术、投资
35,920,5,刘銮雄家族,先生,72,华人置业,房地产
36,900,5,林立,先生,60,立业,投资
37,860,-1,刘永好家族,先生,72,新希望,农业、化工、金融
38,840,5,郑淑良家族,先生,77,魏桥创业,铝业、纺织
40,800,-4,陈邦,先生,58,爱尔眼科,医疗服务
40,800,54,杜纪川,先生,82,金士顿科技,半导体
40,800,-19,庞康,先生,67,海天味业,调味品
40,800,54,孙大卫,先生,72,金士顿科技,半导体
44,770,20,李泽楷,先生,57,电讯盈科,电信
46,720,11,邝肖卿,女士,94,新鸿基,房地产
47,710,9,梁稳根,先生,67,三一,重型机械
47,710,17,汪俊林,先生,61,郎酒,房地产、白酒
50,700,-8,陈东升家族,先生,66,泰康,保险
50,700,95,李想,先生,42,理想汽车,新能源汽车
50,700,-24,王文银家族,先生,55,正威,有色金属贸易
53,680,-10,蒋仁生家族,先生,70,智飞生物,疫苗
53,680,1,李水荣,先生,67,荣盛控股,化纤
55,670,214,蔡浩宇,先生,36,米哈游,游戏
55,670,6,李华,先生,57,卓越,房地产
57,665,-7,吴亚军家族,女士,59,龙湖,房地产
58,640,5,朱保国家族,先生,61,健康元,医药
59,630,40,方威,先生,50,方大,碳素、钢铁、煤焦
59,630,165,林百里家族,先生,74,广达电脑,消费电子产品
59,630,17,沈国军家族,先生,61,银泰,零售、房地产、物流
