姓名,性别,年龄,出生地,学历,公司名称,公司总部地,公司总部地_英文,所在行业,排名,排名变化,财富值_人民币/亿元,财富值变化
伯纳德·阿诺特,先生,74,法国-诺尔省-鲁贝,本科,酩悦·轩尼诗-路易·威登,法国-巴黎,France-Paris,奢侈品,1,2,13500.0,32%
埃隆·马斯克,先生,52,,本科,特斯拉,美国-洛杉矶,USA-Los Angeles,新能源汽车,2,-1,10500.0,-23%
贝特朗·皮埃奇,先生,87,, ,爱马仕,法国-巴黎,France-Paris,奢侈品,3,7,9000.0,31%
杰夫·贝佐斯,先生,59,美国-墨西哥州-阿尔伯克基,本科,亚马逊,美国-西雅图,USA-Seattle,电子商务,4,-2,7900.0,-37%
沃伦·巴菲特,先生,93,美国-内布拉斯加-奥马哈,本科,伯克希尔·哈撒韦,美国-奥马哈,USA-Omaha,投资,5,0,7800.0,-3%
比尔·盖茨,先生,68,美国-西雅图,本科,微软,美国-麦地那,USA-Medina,软件与服务,6,-2,7400.0,-11%
史蒂夫·鲍尔默,先生,67,美国-密歇根-底特律,本科,微软,美国-Hunts Point,USA-Hunts Point,软件与服务,7,1,6800.0,-6%
拉里·埃里森,先生,79,美国-纽约州-曼哈顿,本科,甲骨文,美国-伍德赛德,USA-Woodside,软件与服务,8,3,6700.0,15%
穆克什·安巴尼,先生,66,也门-亚丁, ,Reliance,印度-孟买,India-Mumbai,电信,9,0,5500.0,-20%
弗朗索瓦丝·贝当古·梅耶尔,女士,70,法国-巴黎, ,欧莱雅,法国-巴黎,France-Paris,化妆品,10,3,5400.0,1%
阿曼西奥·奥特加,先生,87,西班牙-Busdongo de Arabas, ,Inditex,西班牙-拉科鲁尼亚,Spain-La Coruna,服装与配饰,11,5,5200.0,15%
卡洛斯·斯利姆·埃卢,先生,83,墨西哥-墨西哥州-墨西哥城,本科,墨西哥美洲电信公司,墨西哥-墨西哥城,Mexico-Mexico City,电信,11,6,5200.0,20%
拉里·佩奇,先生,50,美国-兰辛-密执根州,本科,Alphabet,美国-帕罗奥图,USA-Palo Alto,媒体,13,-7,5000.0,-35%
谢尔盖·布林,先生,50,俄罗斯-莫斯科,本科,Alphabet,美国-Los Altos Hills,USA-Los Altos Hills,媒体,14,-8,4800.0,-38%
钟睒睒,先生,69,中国-浙江-绍兴,,养生堂,中国-杭州,China-Hangzhou,饮料、医疗保健,15,0,4650.0,-4%
马克·扎克伯格,先生,39,美国-纽约州-白原,本科,Meta,美国-帕罗奥图,USA-Palo Alto,媒体,16,-2,4550.0,-11%
吉姆·沃尔顿,先生,75,美国-罗德岛-纽波特,本科,沃尔玛,美国-本顿维尔,USA-Bentonville,多品牌零售,17,1,4400.0,3%
罗伯森·沃尔顿,先生,79,美国-奥克拉荷马-塔尔萨,本科,沃尔玛,美国-本顿维尔,USA-Bentonville,多品牌零售,17,3,4400.0,6%
迈克尔·布隆伯格,先生,81,美国-塔斯马尼亚-布莱顿,硕士,彭博,美国-纽约,USA-New York,金融服务,19,0,4300.0,2%
爱丽丝·沃尔顿,女士,74,美国-罗德岛-纽波特,本科,沃尔玛,美国-沃思堡,USA-Fort Worth,多品牌零售,20,0,4200.0,2%
查尔斯·科赫,先生,88,美国-堪萨斯-威奇托, ,科氏工业,美国-威奇托,USA-Wichita,能源,21,3,3700.0,4%
茱莉娅·科赫,女士,60,,,科氏工业,美国-纽约,USA-New York,能源,21,3,3700.0,4%
高塔姆·阿达尼,先生,61,印度-古吉拉特-艾哈迈达巴德,本科,Adani,印度-艾哈迈达巴德,India-Ahmedabad,绿色能源,23,-11,3550.0,-35%
迈克尔·戴尔,先生,58,美国-得克萨斯州-休斯顿,本科,戴尔,美国-奥斯汀,USA-Austin,消费电子产品,24,5,3350.0,-2%
杰奎琳·马尔斯,女士,84,, ,玛氏公司,美国-普莱恩斯,USA-The Plains,巧克力与甜食,25,7,3150.0,18%
